"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
100016,132245,"Kingsgate Primary School","Child",""
100017,132245,"Kingsgate Primary School","Child",""
100050,132838,"La Swap Sixth Form","Sixth Form Centre Link",""
100053,132838,"La Swap Sixth Form","Sixth Form Centre Link",""
100056,132838,"La Swap Sixth Form","Sixth Form Centre Link",""
100059,132838,"La Swap Sixth Form","Sixth Form Centre Link",""
100096,126575,"Franklin Delano Roosevelt School","Parent",""
100096,126576,"John Keats Special School","Parent",""
100103,100104,"Briset Centre","Parent",""
100103,100105,"Foxhill Centre","Parent",""
100103,100107,"Westcombe Centre","Parent",""
100103,100106,"Kings Park Centre","Parent",""
100104,100103,"Newhaven Pupil Referral Unit","Child",""
100105,100103,"Newhaven Pupil Referral Unit","Child",""
100106,100103,"Newhaven Pupil Referral Unit","Child",""
100107,100103,"Newhaven Pupil Referral Unit","Child",""
100109,131841,"Alexander McLeod Primary School","Child",""
100110,131841,"Alexander McLeod Primary School","Child",""
100116,132800,"Conway Primary School","Child",""
100117,132800,"Conway Primary School","Child",""
100118,132837,"Deansfield Primary School","Child",""
100119,132837,"Deansfield Primary School","Child",""
100121,131183,"South Rise Primary School","Child",""
100122,131183,"South Rise Primary School","Child",""
100123,132827,"Eglinton Primary School","Child",""
100124,132827,"Eglinton Primary School","Child",""
100133,134013,"Charlotte Turner Primary School","Child",""
100135,131246,"James Wolfe Primary School and Centre for the Deaf","Child",""
100138,130921,"Middle Park Primary School","Child",""
100139,130921,"Middle Park Primary School","Child",""
100143,130922,"Timbercroft Primary School","Child",""
100144,130922,"Timbercroft Primary School","Child",""
100153,131246,"James Wolfe Primary School and Centre for the Deaf","Child",""
100163,126584,"Mulgrave Infant and Nursery School","Parent",""
100163,126581,"Mulgrave Junior School","Parent",""
100164,126580,"Charlton Manor Infant School","Parent",""
100164,126579,"Charlton Manor Junior School","Parent",""
100185,137473,"Corelli College","Child","31-08-2011"
100194,105135,"St Paul's Academy","Child",""
100206,133399,"Willow Dene School","Child",""
100209,134063,"Brantridge School","Child",""
100215,136218,"Clissold Park School","Child","31-08-2010"
100216,126591,"Amherst Junior School","Parent",""
100216,126592,"Amherst Infant School","Parent",""
100217,100260,"Benthal Primary School","Child",""
100218,126594,"Berger Infant School","Parent",""
100218,126593,"Berger Junior School","Parent",""
100219,131141,"Burbage School","Child",""
100220,131141,"Burbage School","Child",""
100222,121792,"Springfield Community Primary School","Child",""
100224,126596,"De Beauvoir Junior School","Parent",""
100224,126597,"De Beauvoir Infant School","Parent",""
100226,130303,"Gayhurst Community School","Child",""
100227,130303,"Gayhurst Community School","Child",""
100231,126598,"Millfields Junior School","Parent",""
100231,126599,"Millfields Infant School","Parent",""
100233,126601,"Northwold Infants' School","Parent",""
100233,126600,"Northwold Junior School","Parent",""
100237,130302,"Rushmore Primary School","Child",""
100238,130302,"Rushmore Primary School","Child",""
100239,126602,"Princess May Junior School","Parent",""
100239,126603,"Princess May Infants' School","Parent",""
100241,126605,"Shacklewell Infants' School","Parent",""
100241,126604,"Shacklewell Junior School","Parent",""
100246,130932,"William Patten Primary School","Child",""
100247,130932,"William Patten Primary School","Child",""
100248,100249,"Woodberry Down Community Primary School","Parent",""
100249,100248,"Woodberry Down Community Primary School","Child",""
100260,100217,"Benthal Primary School Infant Department","Parent",""
100262,126607,"Hackney Free and Parochial Infant School","Parent",""
100262,132137,"St John and St James CofE Primary School","Child",""
100262,126606,"Hackney Free and Parochial Junior School","Parent",""
100265,133669,"St. Dominic's Catholic Primary School","Child",""
100273,133669,"St. Dominic's Catholic Primary School","Child",""
100278,137442,"Clapton Girls' Academy","Child","31-08-2011"
100283,136137,"Skinners' Academy","Child","31-08-2010"
100289,100820,"Alma Primary School","Parent","01-09-2011"
100313,134273,"Normand Croft Community School for Early Years and Primary Education","Child",""
100320,133189,"Bridge Academy","Parent",""
100342,134273,"Normand Croft Community School for Early Years and Primary Education","Child",""
100348,134009,"Larmenier & Sacred Heart Catholic Primary School","Child",""
100356,134009,"Larmenier & Sacred Heart Catholic Primary School","Child",""
100362,131752,"Burlington Danes Academy","Child",""
100362,133545,"William Morris Sixth Form","Child",""
100363,137935,"Sacred Heart High School","Child","29-02-2012"
100365,137157,"The London Oratory School","Child","31-07-2011"
100370,134271,"Latymer Preparatory School","Parent",""
100380,133743,"Heathermount, the Learning Centre","Child",""
100398,131773,"Canonbury Primary School","Child",""
100399,131773,"Canonbury Primary School","Child",""
100400,134413,"New North Community School","Child",""
100404,134413,"New North Community School","Child",""
100409,131842,"Hugh Myddelton Primary School","Child",""
100410,131842,"Hugh Myddelton Primary School","Child",""
100412,131218,"Montem Primary School","Child",""
100413,131218,"Montem Primary School","Child",""
100414,100434,"Prior Weston Primary School and Children's Centre","Child",""
100416,131325,"Newington Green Primary School","Child",""
100417,131325,"Newington Green Primary School","Child",""
100420,131741,"Poole's Park Primary School","Child",""
100421,131741,"Poole's Park Primary School","Child",""
100423,131740,"Rotherfield Primary School","Child",""
100424,131740,"Rotherfield Primary School","Child",""
100427,137566,"William Tyndale Primary School","Child","30-09-2011"
100432,100433,"Ashmount Infant School","Parent",""
100433,100432,"Ashmount Primary School","Child",""
100434,100414,"Moorfields Primary School","Parent",""
100435,126633,"Hungerford Junior School","Parent",""
100435,126634,"Hungerford Infant School","Parent",""
100445,134314,"St Mary Magdalene Academy","Child",""
100452,136138,"Islington Sixth Form Consortium","Sixth Form Centre Link","18-06-2010"
100454,135587,"City of London Academy - Islington","Child",""
100455,136138,"Islington Sixth Form Consortium","Sixth Form Centre Link","18-06-2010"
100456,131690,"Islington Arts and Media School","Child",""
100458,136138,"Islington Sixth Form Consortium","Sixth Form Centre Link","18-06-2010"
100459,136138,"Islington Sixth Form Consortium","Sixth Form Centre Link","12-08-2011"
100499,126640,"St Mary's RC Infant School","Parent",""
100499,126639,"St Mary's RC Junior School","Parent",""
100512,100547,"Lycee Francais Charles de Gaulle","Child",""
100515,100534,"Thomas's Kensington","Child",""
100534,100515,"Lady Eden's School","Parent",""
100547,100512,"Lycee Francais Charles De Gaulle","Parent",""
100557,131247,"Bonneville Primary School","Child",""
100558,131247,"Bonneville Primary School","Child",""
100562,133662,"Jubilee Primary School","Child",""
100565,133315,"Kings Avenue School","Child",""
100568,131874,"Henry Fawcett Primary School","Child",""
100569,131874,"Henry Fawcett Primary School","Child",""
100570,131824,"Hitherfield Primary School","Child",""
100571,131824,"Hitherfield Primary School","Child",""
100573,137430,"Johanna Primary School","Child","31-08-2011"
100575,100576,"Lark Hall Primary School (Including Lark Hall Centre for Pupils with Autism)","Child",""
100576,100575,"Lark Hall Junior School and Centre for Pupils With Autism","Parent",""
100579,131335,"Rosendale Primary School","Child",""
100580,131335,"Rosendale Primary School","Child",""
100582,100583,"Stockwell Infants' School","Parent",""
100583,100582,"Stockwell Primary School","Child",""
100587,131114,"Brockwell Primary School","Child",""
100592,100601,"Glenbrook Primary School","Child",""
100596,131114,"Brockwell Primary School","Child",""
100597,100577,"Paxton Primary School","Other","01-09-2010"
100597,100574,"Kingswood Primary School","Other","01-09-2010"
100599,133315,"Kings Avenue School","Child",""
100600,133584,"Loughborough Primary School","Child",""
100601,100592,"Glenbrook Primary School","Parent",""
100603,133584,"Loughborough Primary School","Child",""
100605,131340,"Hill Mead Primary School","Child",""
100607,131340,"Hill Mead Primary School","Child",""
100626,136450,"Stockwell Park High School","Child","31-01-2011"
100630,137295,"Corpus Christi Catholic Primary School","Child","16-08-2011"
100635,136288,"Durand Academy","Child","31-08-2010"
100639,137093,"Dunraven School","Child","31-07-2011"
100641,137966,"St Martin in the Fields High School for Girls","Child","31-03-2012"
100645,100652,"Noah's Ark School","Parent",""
100650,134850,"The Theodore McLeary Primary School","Child",""
100652,100645,"Rosemead Preparatory School","Child",""
100656,133315,"Kings Avenue School","Child",""
100669,130856,"Abbey Manor College","Child",""
100670,130856,"Abbey Manor College","Child",""
100682,100687,"Brindishe Green School","Child",""
100687,100682,"Ennersdale Primary School","Parent",""
100694,135843,"Prendergast - Vale College","Child","31-08-2010"
100697,135073,"Haberdashers' Aske's Hatcham College","Child","16-01-2009"
100698,135070,"Haberdashers' Aske's Knights Academy","Child","31-12-2010"
100706,137441,"Tidemill Primary School","Child","31-08-2011"
100736,135264,"St Matthew Academy","Child",""
100741,132942,"Sydenham and Forest Hill Sixth Form","Sixth Form Centre Link",""
100744,135070,"Haberdashers' Aske's Knights Academy","Child",""
100745,132942,"Sydenham and Forest Hill Sixth Form","Sixth Form Centre Link",""
100746,131797,"Telegraph Hill School","Child",""
100751,135264,"St Matthew Academy","Child",""
100756,131166,"Blackheath High School","Parent",""
100759,135073,"Haberdashers' Aske's Hatcham College","Child",""
